year,Jan,Feb,Mar,Apr,May,Jun,Aug,JAS_SPI
2025,12.0,17.3,13.9,8.7,11.7,10.9,0.466,
2024,16.2,12.9,12.7,15.4,19.3,14.6,1.304,1.969
2023,24.1,25.8,28.2,30.3,29.5,30.3,-0.201,-0.172
2022,17.7,12.7,15.3,14.9,16.5,21.4,-0.512,-0.296
2021,9.6,4.8,10.4,13.4,15.8,18.8,0.378,0.189
2020,11.7,10.0,10.8,12.5,14.4,18.2,0.137,0.945
2019,19.3,25.7,28.5,26.5,26.7,21.2,-0.293,0.451
2018,15.0,18.5,17.8,20.8,18.2,16.2,0.355,0.095
2017,29.3,28.1,35.0,23.9,24.7,26.0,0.586,-0.282
2016,16.6,23.2,13.5,10.4,14.7,16.6,0.783,0.133
2015,37.0,38.2,35.1,30.7,33.5,24.2,-0.483,0.41
2014,34.1,40.7,36.4,33.6,35.1,33.3,-0.139,0.104
2013,30.7,31.9,29.0,32.4,36.4,31.8,-0.575,0.172
2012,34.6,33.7,35.5,33.2,35.3,26.3,0.72,0.938
2011,42.6,41.6,38.1,38.1,38.4,32.6,-0.14,-0.244
2010,39.3,28.6,26.5,24.5,22.3,30.6,1.104,0.836
2009,40.6,42.1,38.2,35.2,39.3,39.1,-0.438,-0.459
2008,33.9,29.1,32.0,26.1,35.3,33.8,0.304,0.065
2007,28.8,26.5,22.2,30.7,28.0,23.4,0.368,0.749
2006,42.5,38.2,43.6,47.1,45.1,49.0,-0.953,0.276
2005,36.7,39.1,39.3,38.8,40.2,26.5,1.018,0.223
2004,38.8,38.9,44.2,42.7,45.6,49.0,-0.484,-0.515
2003,28.7,27.4,28.6,29.7,27.2,25.6,1.268,0.658
2002,35.6,41.6,43.8,44.4,47.0,51.4,0.136,0.047
2001,51.3,47.6,48.7,49.1,46.1,47.9,0.547,0.135
2000,38.5,44.3,39.2,44.2,44.9,36.6,0.372,-0.314
1999,40.8,41.4,39.2,34.6,25.1,31.3,0.337,1.53
1998,22.4,23.5,24.3,29.9,31.0,23.3,0.487,0.926
1997,44.3,54.2,50.1,47.5,54.6,37.4,-0.364,-0.854
1996,42.2,42.5,42.0,44.7,47.7,45.9,-0.614,-0.781
1995,33.1,33.0,35.1,34.3,33.8,38.6,-0.385,-0.354
1994,43.5,43.2,46.2,43.2,44.1,39.5,0.548,1.59
1993,47.1,51.2,48.0,50.5,51.4,49.8,-0.596,-0.465
1992,53.3,44.3,50.6,53.2,60.2,44.6,0.056,0.003
1991,42.3,42.3,45.8,46.0,46.2,52.5,-0.013,-0.202
