pcode,year,junaug_mm,n_days
NE001006,2015,193.094055670734,91
NE001006,2016,90.959287282665,91
NE001006,2017,149.803214355045,91
NE001006,2018,154.806646471172,91
NE001006,2019,170.3305861296,91
NE001006,2020,175.94973456585,91
NE001006,2021,137.4937981252,91
NE001006,2022,132.6143200167,91
NE001006,2023,78.847767119662,91
NE001006,2024,167.802250292614,91
NE001006,2025,193.18465454277998,91
NE001006,2026,147.27441683597002,90
NE002001,1998,310.87064871833,91
NE002001,1999,262.0450755177,91
NE002001,2000,258.6431908204,91
NE002001,2001,214.47606043533,91
NE002001,2002,216.37729020129999,91
NE002001,2003,255.64122584433,91
NE002001,2004,210.3302419096,91
NE002001,2005,293.3845013974,91
NE002001,2006,164.1365549357,91
NE002001,2007,421.6618768308,91
NE002001,2008,204.5227828917,91
NE002001,2009,244.53868234501,91
NE002001,2010,295.62909560957,91
NE002001,2011,246.081794379,91
NE002001,2012,395.2828656449,91
NE002001,2013,313.70400716673,91
NE002001,2014,280.32122165358,91
NE002001,2015,266.74515625780003,91
NE002001,2016,253.08761767305,91
NE002001,2017,387.16629826336,91
NE002001,2018,466.50777556415,91
NE002001,2019,306.09598037625,91
NE002001,2020,348.774901034,91
NE002001,2021,375.66523270863,91
NE002001,2022,394.35244283231,91
NE002001,2023,231.40434190098,91
NE002001,2024,449.36851159153,91
NE002001,2025,507.2295777383,91
NE002001,2026,92.09368690853,90
NE002002,1998,311.236959081,91
NE002002,1999,228.4087023748,91
NE002002,2000,296.09193169716,91
NE002002,2001,250.72788755210001,91
NE002002,2002,235.202384805,91
NE002002,2003,272.358227516558,91
NE002002,2004,204.08423645405,91
NE002002,2005,371.389937619208,91
NE002002,2006,203.17268940034,91
NE002002,2007,373.146841252738,91
NE002002,2008,207.66092162139998,91
NE002002,2009,252.25999589893,91
NE002002,2010,341.965327056965,91
NE002002,2011,209.17997071871,91
NE002002,2012,318.57002440381,91
NE002002,2013,284.32822319581,91
NE002002,2014,214.450726707288,91
NE002002,2015,254.65471645785,91
NE002002,2016,285.79659252182,91
NE002002,2017,337.457915569055,91
NE002002,2018,420.93650762666,91
NE002002,2019,374.61889829786,91
NE002002,2020,274.38707592698,91
NE002002,2021,389.9858830039,91
NE002002,2022,414.9779053441,91
NE002002,2023,212.82496264536,91
NE002002,2024,465.41088479891,91
NE002002,2025,484.6352341933,91
NE002002,2026,147.476203184688,90
NE002003,1998,315.38676663,91
NE002003,1999,166.14791973001,91
NE002003,2000,261.64286100324,91
NE002003,2001,205.90589900007998,91
NE002003,2002,248.16297654153,91
NE002003,2003,344.61767196631,91
NE002003,2004,226.95986369274002,91
NE002003,2005,324.94957491226,91
NE002003,2006,247.27501191775,91
NE002003,2007,329.02640627494,91
NE002003,2008,260.90238899883,91
NE002003,2009,221.80278782254,91
NE002003,2010,387.629989082274,91
NE002003,2011,158.64182873942,91
NE002003,2012,372.13327936202,91
NE002003,2013,255.49890244328,91
NE002003,2014,156.070376686194,91
NE002003,2015,320.81385982431,91
NE002003,2016,404.044892527444,91
NE002003,2017,270.38605080032,91
NE002003,2018,395.16649599237,91
NE002003,2019,415.25600953101997,91
NE002003,2020,237.92242496736,91
NE002003,2021,482.02812157657,91
NE002003,2022,424.1981421593,91
NE002003,2023,180.690107920124,91
NE002003,2024,469.69521239027,91
NE002003,2025,362.56761410466,91
NE002003,2026,182.15203370868,90
