pcode,year,junaug_mm,n_months
NE001001,1981,31.53679934,3
NE001001,1982,30.50348902,3
NE001001,1983,24.12168994,3
NE001001,1984,2.6211321,3
NE001001,1985,42.31378155,3
NE001001,1986,27.56313782,3
NE001001,1987,20.47750497,3
NE001001,1988,78.94349969999999,3
NE001001,1989,53.36028495,3
NE001001,1990,33.39449834,3
NE001001,1991,52.9471599,3
NE001001,1992,40.491037219999996,3
NE001001,1993,22.53282041,3
NE001001,1994,69.558550011,3
NE001001,1995,39.84098871,3
NE001001,1996,11.117620169999999,3
NE001001,1997,33.746859009999994,3
NE001001,1998,49.60510423,3
NE001001,1999,103.56436399409999,3
NE001001,2000,42.415765019999995,3
NE001001,2001,23.60791729,3
NE001001,2002,31.137108495,3
NE001001,2003,32.56775284,3
NE001001,2004,15.798251629999998,3
NE001001,2005,34.23827975,3
NE001001,2006,21.259660974,3
NE001001,2007,41.5044322,3
NE001001,2008,34.60557678,3
NE001001,2009,19.22462764,3
NE001001,2010,88.64914363,3
NE001001,2011,31.96713322,3
NE001001,2012,41.32507417,3
NE001001,2013,34.933989170000004,3
NE001001,2014,37.904392169999994,3
NE001001,2015,39.04964151,3
NE001001,2016,43.9234042,3
NE001001,2017,48.33373935,3
NE001001,2018,74.67983216,3
NE001001,2019,82.32035653,3
NE001001,2020,42.487478620000005,3
NE001001,2021,15.999382772,3
NE001001,2022,37.31363597,3
NE001001,2023,17.508081118,3
NE001001,2024,80.04424915999999,3
NE001001,2025,23.34112568,3
NE001001,2026,12.44968319,3
NE001002,1981,21.22467062,3
NE001002,1982,6.2397770368,3
NE001002,1983,5.418203491,3
NE001002,1984,0.3742357706125,3
NE001002,1985,10.552447266,3
NE001002,1986,10.718489389999998,3
NE001002,1987,13.86982081,3
NE001002,1988,17.208614724,3
NE001002,1989,18.86897265,3
NE001002,1990,8.517013944,3
NE001002,1991,15.29985935,3
NE001002,1992,16.4831391,3
NE001002,1993,5.810460719,3
NE001002,1994,14.9285697299,3
NE001002,1995,17.1622202,3
NE001002,1996,3.1534675720000003,3
NE001002,1997,18.026500634999998,3
NE001002,1998,19.26882531,3
NE001002,1999,52.437284299999995,3
NE001002,2000,14.11948634,3
NE001002,2001,10.60378965,3
NE001002,2002,13.053737949999999,3
NE001002,2003,14.83134062,3
NE001002,2004,9.83449351,3
NE001002,2005,12.788252223999999,3
NE001002,2006,9.214840310000001,3
NE001002,2007,19.127977449999996,3
NE001002,2008,15.483434343999999,3
NE001002,2009,5.342027284,3
NE001002,2010,24.17301161,3
NE001002,2011,18.92859648,3
NE001002,2012,23.31252076,3
NE001002,2013,12.866370372,3
NE001002,2014,13.933166429,3
NE001002,2015,17.73642673,3
NE001002,2016,23.89504658,3
NE001002,2017,21.81367735,3
NE001002,2018,40.374589595,3
NE001002,2019,51.687128030000004,3
NE001002,2020,18.59791693,3
NE001002,2021,9.18306731,3
NE001002,2022,13.97618448,3
NE001002,2023,13.679232455,3
NE001002,2024,35.58429056,3
NE001002,2025,16.02172193,3
NE001002,2026,7.434124614,3
NE001003,1981,1.460020896,3
NE001003,1982,1.33639137608,3
NE001003,1983,0.8535473253,3
NE001003,1984,0.02032844096,3
NE001003,1985,2.427380951,3
NE001003,1986,0.8072630919999999,3
NE001003,1987,3.4562701009999994,3
NE001003,1988,7.0362126510000005,3
NE001003,1989,5.5219003144,3
NE001003,1990,3.5114009999999998,3
NE001003,1991,2.430338426,3
NE001003,1992,4.241502751,3
NE001003,1993,1.6412322816,3
NE001003,1994,5.007931983000001,3
NE001003,1995,6.99246997,3
NE001003,1996,0.5125357232,3
NE001003,1997,3.10705378,3
NE001003,1998,3.8843994429999995,3
NE001003,1999,11.38637905,3
NE001003,2000,2.8802713736000003,3
NE001003,2001,1.574019544,3
NE001003,2002,2.2294034089999997,3
NE001003,2003,2.205479349,3
NE001003,2004,3.8086577226999996,3
NE001003,2005,2.500857379,3
NE001003,2006,2.282481687,3
NE001003,2007,3.743899034,3
NE001003,2008,2.270687736,3
NE001003,2009,3.6371929739999995,3
NE001003,2010,4.058083492,3
NE001003,2011,2.3369952194,3
NE001003,2012,3.786093878,3
NE001003,2013,2.1407522820000002,3
NE001003,2014,1.1447757265,3
NE001003,2015,4.591425704000001,3
NE001003,2016,4.742134597,3
NE001003,2017,5.735629922999999,3
NE001003,2018,7.887271997499999,3
NE001003,2019,15.667763697,3
NE001003,2020,2.677331882,3
NE001003,2021,1.0551486365,3
NE001003,2022,2.8550177889999997,3
NE001003,2023,2.7243000924,3
NE001003,2024,47.957109533,3
NE001003,2025,1.5666516869999998,3
NE001003,2026,1.0402196689999998,3
NE001004,1981,9.816344885,3
NE001004,1982,3.4879291835800004,3
NE001004,1983,3.0131932800000003,3
NE001004,1984,0.019147105216,3
NE001004,1985,4.5676001685,3
NE001004,1986,1.878130084,3
NE001004,1987,4.69249342,3
NE001004,1988,9.290515214000001,3
NE001004,1989,6.39440097,3
NE001004,1990,3.0090331197699998,3
NE001004,1991,6.228731234,3
NE001004,1992,7.13294459,3
NE001004,1993,1.9890103902,3
NE001004,1994,7.89106984205,3
NE001004,1995,7.366860234000001,3
NE001004,1996,1.0969233225,3
NE001004,1997,7.883158343,3
NE001004,1998,11.295465279999998,3
NE001004,1999,28.484075292059998,3
NE001004,2000,6.215569995,3
NE001004,2001,3.9972521170000004,3
NE001004,2002,6.671130180999999,3
NE001004,2003,6.54239562,3
NE001004,2004,3.9498415380000003,3
NE001004,2005,6.833236772999999,3
NE001004,2006,5.449646128,3
NE001004,2007,8.067373812,3
NE001004,2008,7.20187719,3
NE001004,2009,2.58829348,3
NE001004,2010,10.055137890000001,3
NE001004,2011,6.73126799,3
NE001004,2012,6.563432155,3
NE001004,2013,5.341007115999999,3
NE001004,2014,3.6941439835,3
NE001004,2015,10.024349767,3
NE001004,2016,12.89489731,3
NE001004,2017,10.84480031,3
NE001004,2018,16.61913499,3
NE001004,2019,27.61017222,3
NE001004,2020,10.758251929999998,3
NE001004,2021,2.1219077028999997,3
NE001004,2022,6.548718235,3
NE001004,2023,5.5579805158,3
NE001004,2024,47.386433125,3
NE001004,2025,8.242230734,3
NE001004,2026,3.329439733,3
NE001005,1981,23.1843174,3
NE001005,1982,21.004804233,3
NE001005,1983,16.48075705,3
NE001005,1984,3.9388706199999994,3
NE001005,1985,31.238047480000002,3
NE001005,1986,34.239753639999996,3
NE001005,1987,21.39210584,3
NE001005,1988,56.86037392,3
NE001005,1989,46.57046054,3
NE001005,1990,23.47507589,3
NE001005,1991,49.27022355999999,3
NE001005,1992,38.99750491,3
NE001005,1993,20.13620453,3
NE001005,1994,39.14586724,3
NE001005,1995,24.776802160000003,3
NE001005,1996,11.92486171,3
NE001005,1997,30.09139083,3
NE001005,1998,33.79041729,3
NE001005,1999,90.180016379,3
NE001005,2000,31.7075313,3
NE001005,2001,21.633369189999996,3
NE001005,2002,29.453090099999997,3
NE001005,2003,31.4794429,3
NE001005,2004,19.54004208,3
NE001005,2005,35.64661427,3
NE001005,2006,16.998068585,3
NE001005,2007,35.54425008,3
NE001005,2008,30.68703322,3
NE001005,2009,16.00631939,3
NE001005,2010,58.148248499999994,3
NE001005,2011,31.83770042,3
NE001005,2012,40.177291780000004,3
NE001005,2013,25.60976074,3
NE001005,2014,34.36200212,3
NE001005,2015,42.35288608,3
NE001005,2016,47.38590984,3
NE001005,2017,48.647424990000005,3
NE001005,2018,68.4470347,3
NE001005,2019,88.11816879999999,3
NE001005,2020,35.69533329,3
NE001005,2021,21.6638502,3
NE001005,2022,34.3662228,3
NE001005,2023,18.027607676,3
NE001005,2024,50.80745761,3
NE001005,2025,29.812737750000004,3
NE001005,2026,15.494888130000001,3
NE001006,1981,32.87538528,3
NE001006,1982,26.705827183,3
NE001006,1983,24.20039818,3
NE001006,1984,1.3083919787,3
NE001006,1985,39.01289185,3
NE001006,1986,26.72404443,3
NE001006,1987,19.30144598,3
NE001006,1988,70.16864905,3
NE001006,1989,51.58239371,3
NE001006,1990,29.621256079,3
NE001006,1991,53.23256615,3
NE001006,1992,41.02598764,3
NE001006,1993,20.58499083,3
NE001006,1994,80.599998169,3
NE001006,1995,25.06979111,3
NE001006,1996,11.47964354,3
NE001006,1997,42.44789376,3
NE001006,1998,62.36023886,3
NE001006,1999,126.0303016,3
NE001006,2000,34.17337477,3
NE001006,2001,25.85874216,3
NE001006,2002,34.43317731,3
NE001006,2003,29.663391689999997,3
NE001006,2004,19.871250670000002,3
NE001006,2005,31.93029757,3
NE001006,2006,24.783488322,3
NE001006,2007,46.159671870000004,3
NE001006,2008,31.33659235,3
NE001006,2009,23.69557403,3
NE001006,2010,88.18536646,3
NE001006,2011,34.712252379999995,3
NE001006,2012,46.751582060000004,3
NE001006,2013,31.096416450000003,3
NE001006,2014,33.58903409,3
NE001006,2015,39.799809159999995,3
NE001006,2016,57.697818399999996,3
NE001006,2017,50.965830249999996,3
NE001006,2018,71.76650778,3
NE001006,2019,92.62827713,3
NE001006,2020,56.0297437,3
NE001006,2021,19.717624885,3
NE001006,2022,35.69345686,3
NE001006,2023,23.847751170000002,3
NE001006,2024,84.50151457000001,3
NE001006,2025,31.98612412,3
NE001006,2026,19.02961344,3
NE002001,1981,205.0445699,3
NE002001,1982,197.8690264,3
NE002001,1983,136.7073686,3
NE002001,1984,65.93371232999999,3
NE002001,1985,186.67260399999998,3
NE002001,1986,162.6771807,3
NE002001,1987,167.8116371,3
NE002001,1988,435.38810359999997,3
NE002001,1989,206.51774840000002,3
NE002001,1990,159.2676866,3
NE002001,1991,190.0760904,3
NE002001,1992,189.6573704,3
NE002001,1993,113.1080049,3
NE002001,1994,299.3576454,3
NE002001,1995,274.6078719,3
NE002001,1996,146.1908737,3
NE002001,1997,154.5641008,3
NE002001,1998,193.7328242,3
NE002001,1999,326.6283842,3
