region,asi_value,asi_rank,asi_n,asi_rp,vhi_value,vhi_rank,vhi_n,vhi_rp,adm1_pcode,chirps_value,chirps_rank,chirps_n,chirps_rp,seas5_jas_r,seas5_jas_pctile,seas5_jas_rp,seas5_aso_r,seas5_aso_pctile,seas5_aso_rp
Agadez,22.388,16,43,2.75,0.56,21,43,2.0952380952380953,NE001,15.971425414085388,4,46,11.75,0.990910053923412,4.444444444444445,15.333333333333334,0.9849019418222126,22.22222222222222,4.181818181818182
Diffa,14.585,10,43,4.4,0.356,10,43,4.4,NE002,84.30913321177165,24,46,1.9583333333333333,0.9818464352365984,2.2222222222222223,23.0,0.9734843370079724,6.666666666666667,11.5
Dosso,2.591,26,43,1.6923076923076923,0.677,34,43,1.2941176470588236,NE003,170.61191654205322,3,46,15.666666666666666,0.9322942562890963,0.0,46.0,0.9004448210550983,6.666666666666667,11.5
Maradi,0.317,23,43,1.9130434782608696,0.778,37,43,1.1891891891891893,NE004,148.60816277398004,10,46,4.7,0.9413318024813556,0.0,46.0,0.9318694431019168,8.88888888888889,9.2
Niamey,0.0,16,43,2.75,0.577,29,43,1.5172413793103448,NE008,239.9735870361328,37,46,1.2702702702702702,0.8931149234895266,2.2222222222222223,23.0,0.845200577511345,4.444444444444445,15.333333333333334
Tahoua,0.481,26,43,1.6923076923076923,0.664,33,43,1.3333333333333333,NE005,97.76376577524039,3,46,15.666666666666666,0.9654972822663508,0.0,46.0,0.9543869584283292,11.11111111111111,7.666666666666667
Tillaberi,0.309,38,43,1.1578947368421053,0.679,30,43,1.4666666666666666,NE006,167.01958406888522,28,46,1.6785714285714286,0.9357112580282811,2.2222222222222223,23.0,0.9088229916229392,4.444444444444445,15.333333333333334
Zinder,1.885,20,43,2.2,0.604,28,43,1.5714285714285714,NE007,124.6688065962358,11,46,4.2727272727272725,0.96505675998317,2.2222222222222223,23.0,0.9545516490356574,6.666666666666667,11.5
