level,pcode,year,spi
zone,NE,2026,-0.12025804181285447
zone,NE,2025,0.3597055590985352
zone,NE,2024,1.2544299981277158
zone,NE,2023,-0.36186017750159566
zone,NE,2022,-0.7906606379701132
zone,NE,2021,0.25040068165895624
zone,NE,2020,0.07186778207182822
zone,NE,2019,-0.46348331404366055
zone,NE,2018,0.25386713681760736
zone,NE,2017,0.5160142409221368
zone,NE,2016,0.7207210593611201
zone,NE,2015,-0.6374096975945087
zone,NE,2014,-0.303439419352867
zone,NE,2013,-0.7082525803771452
zone,NE,2012,0.6253047950586643
zone,NE,2011,-0.28211373225809583
zone,NE,2010,0.9811818439140864
zone,NE,2009,-0.5758559192962519
zone,NE,2008,0.25735801127520064
zone,NE,2007,0.1991136652637044
zone,NE,2006,-1.1968877602911958
zone,NE,2005,0.9998533358199941
zone,NE,2004,-0.7121781712906919
zone,NE,2003,1.2174885466975436
zone,NE,2002,-0.06036194212203041
zone,NE,2001,0.38062098044191095
zone,NE,2000,0.2639182630751468
zone,NE,1999,0.19580083088559433
zone,NE,1998,0.3535867153026458
zone,NE,1997,-0.47581721180274583
zone,NE,1996,-0.8313754101921231
zone,NE,1995,-0.5955310939078758
zone,NE,1994,0.41833082133696514
zone,NE,1993,-0.8787734558470535
zone,NE,1992,-0.08786189554437517
zone,NE,1991,-0.1613439917899574
1,NE006,2026,0.40660245760934743
1,NE006,2025,-0.25140159148122293
1,NE006,2024,1.1936590831286722
1,NE006,2023,-1.580535850455514
1,NE006,2022,-2.2322549828934903
1,NE006,2021,-0.2091193526249023
1,NE006,2020,0.37527348728348864
1,NE006,2019,-0.7384885800094241
1,NE006,2018,-0.5041328213023575
1,NE006,2017,0.8643316524733378
1,NE006,2016,0.39419892545770213
1,NE006,2015,0.4113665895688627
1,NE006,2014,0.23274463807677448
1,NE006,2013,-0.5765759928208011
1,NE006,2012,-0.012612660478817846
1,NE006,2011,-0.5744913568037313
1,NE006,2010,0.34337784441326663
1,NE006,2009,-0.17464702370698712
1,NE006,2008,0.22306423828127855
1,NE006,2007,0.37264284565402367
1,NE006,2006,-0.40747464164048
1,NE006,2005,1.0112552934045609
1,NE006,2004,-0.3818415744121865
1,NE006,2003,1.0486358062409618
1,NE006,2002,-0.1519300223525117
1,NE006,2001,1.096618207454849
1,NE006,2000,0.8679719570095016
1,NE006,1999,0.44090706481037223
1,NE006,1998,1.02402884517274
1,NE006,1997,-0.6031603475607785
1,NE006,1996,-0.5728958918715732
1,NE006,1995,-0.7429937705577095
1,NE006,1994,-0.05671111339920709
1,NE006,1993,-0.7137330053875609
1,NE006,1992,0.31695684287772447
1,NE006,1991,-0.22025354157908253
1,NE003,2026,0.28745762756073606
1,NE003,2025,-0.30219350995125266
1,NE003,2024,0.9563933855895559
1,NE003,2023,-1.5771490761671347
1,NE003,2022,-1.838594004764538
1,NE003,2021,-0.3193115510150801
1,NE003,2020,0.48983755632619636
1,NE003,2019,0.14305184606030455
1,NE003,2018,-0.1362841698026241
1,NE003,2017,0.11368722760575847
1,NE003,2016,-0.26414291252057187
1,NE003,2015,-0.5392746816160963
1,NE003,2014,0.3539777076338463
1,NE003,2013,-0.16904482171062138
1,NE003,2012,-0.38052449818423684
1,NE003,2011,-0.9031012557341046
1,NE003,2010,0.3119049557384381
1,NE003,2009,0.2475328803770404
1,NE003,2008,0.2984931470914949
1,NE003,2007,-0.022412922419962806
1,NE003,2006,-0.17949782350940055
1,NE003,2005,1.5512477580805637
1,NE003,2004,-0.4096999711732399
1,NE003,2003,0.812442448298323
1,NE003,2002,0.48224976622052035
1,NE003,2001,0.9278229085218048
1,NE003,2000,0.9612727360594948
1,NE003,1999,-0.6129148081190642
1,NE003,1998,-0.14442946587126293
1,NE003,1997,0.3623909301628907
1,NE003,1996,-0.49306293753425146
1,NE003,1995,-0.9474237721296312
1,NE003,1994,1.135855833449549
1,NE003,1993,-0.24082553935570372
1,NE003,1992,-0.15753803652427115
1,NE003,1991,0.2193158653817418
1,NE004,2026,1.033839767790537
1,NE004,2025,0.33950707914722766
1,NE004,2024,1.5571865264695028
1,NE004,2023,0.4038673409997588
1,NE004,2022,-0.5323635217558612
1,NE004,2021,0.47153362287347483
1,NE004,2020,0.49916095901903446
1,NE004,2019,-1.2799853504442928
1,NE004,2018,-0.008331083911782744
1,NE004,2017,0.6414017802243398
1,NE004,2016,0.7383186377809163
1,NE004,2015,-0.6035324318486792
1,NE004,2014,0.0835252653511031
1,NE004,2013,-0.5807363445087919
1,NE004,2012,0.9994262156022965
1,NE004,2011,-0.2715475390539864
1,NE004,2010,0.8857245146384833
1,NE004,2009,-0.9590646791235438
1,NE004,2008,-0.1035848650034309
1,NE004,2007,-0.6742563679489024
1,NE004,2006,-1.2429423341203336
1,NE004,2005,0.8402717920360656
1,NE004,2004,-1.426702886416157
1,NE004,2003,0.6511162913049912
1,NE004,2002,-0.169971195876289
1,NE004,2001,1.5641730504543647
1,NE004,2000,0.5793222846227858
1,NE004,1999,0.1827376361859362
1,NE004,1998,0.25634274131946383
1,NE004,1997,-0.03696887401501066
1,NE004,1996,-0.6913617486112509
1,NE004,1995,-0.832515618091344
1,NE004,1994,-0.12859183513814412
1,NE004,1993,-1.9238039331662429
1,NE004,1992,-0.4308485602311543
1,NE004,1991,0.13987468699708178
1,NE007,2026,-0.3360461387396707
1,NE007,2025,0.6248123104670263
1,NE007,2024,1.3865115646691013
1,NE007,2023,0.10506140032831929
1,NE007,2022,-0.19176867997987365
