pcode,year,junjul_mm,n_months
NE001004,2006,0.5109220480000001,2
NE001004,2007,2.076655742,2
NE001004,2008,3.19002025,2
NE001004,2009,1.19749553,2
NE001004,2010,5.8413463299999995,2
NE001004,2011,1.82347602,2
NE001004,2012,2.0866508550000002,2
NE001004,2013,0.484220376,2
NE001004,2014,0.4449980235,2
NE001004,2015,2.023789167,2
NE001004,2016,6.754427229999999,2
NE001004,2017,5.31450354,2
NE001004,2018,2.24280811,2
NE001004,2019,3.3154151799999996,2
NE001004,2020,1.33348251,2
NE001004,2021,0.9381491429,2
NE001004,2022,1.4062063550000001,2
NE001004,2023,1.2670981558,2
NE001004,2024,2.152764525,2
NE001004,2025,4.617852094,2
NE001004,2026,1.369608883,2
NE001005,1981,17.60596164,2
NE001005,1982,3.507647833,2
NE001005,1983,9.96247571,2
NE001005,1984,3.2943293459999996,2
NE001005,1985,9.98300288,2
NE001005,1986,13.4291176,2
NE001005,1987,7.55228914,2
NE001005,1988,14.12332442,2
NE001005,1989,15.22524454,2
NE001005,1990,13.164115670000001,2
NE001005,1991,16.96805306,2
NE001005,1992,17.077802950000002,2
NE001005,1993,9.1665374,2
NE001005,1994,10.181741090000001,2
NE001005,1995,8.604652100000001,2
NE001005,1996,6.03854234,2
NE001005,1997,5.539496229999999,2
NE001005,1998,12.339176790000002,2
NE001005,1999,18.181784779,2
NE001005,2000,18.5022257,2
NE001005,2001,11.981540889999998,2
NE001005,2002,16.52486715,2
NE001005,2003,15.9252022,2
NE001005,2004,8.97183146,2
NE001005,2005,16.02247192,2
NE001005,2006,3.406775165,2
NE001005,2007,11.08550955,2
NE001005,2008,12.462776779999999,2
NE001005,2009,8.29794588,2
NE001005,2010,39.277212399999996,2
NE001005,2011,9.67029792,2
NE001005,2012,16.26169388,2
NE001005,2013,7.09012018,2
NE001005,2014,5.87106772,2
NE001005,2015,14.214000079999998,2
NE001005,2016,25.7615641,2
NE001005,2017,18.073248740000004,2
NE001005,2018,17.3517683,2
NE001005,2019,15.8531698,2
NE001005,2020,8.563291640000001,2
NE001005,2021,9.566816300000001,2
NE001005,2022,10.7783073,2
NE001005,2023,4.511874896,2
NE001005,2024,7.72164571,2
NE001005,2025,8.584467850000001,2
NE001005,2026,8.98683462,2
NE001006,1981,24.76730118,2
NE001006,1982,2.9332834329999997,2
NE001006,1983,16.39801438,2
NE001006,1984,1.2631699444,2
NE001006,1985,13.16324425,2
NE001006,1986,12.889097829999999,2
NE001006,1987,6.206162480000001,2
NE001006,1988,13.69113475,2
NE001006,1989,12.01323111,2
NE001006,1990,13.790774379,2
NE001006,1991,20.63369775,2
NE001006,1992,22.396489589999998,2
NE001006,1993,4.59142743,2
NE001006,1994,16.953265769,2
NE001006,1995,6.6517053100000005,2
NE001006,1996,4.35666504,2
NE001006,1997,9.627325760000002,2
NE001006,1998,26.11376166,2
NE001006,1999,36.465123299999995,2
NE001006,2000,23.995026350000003,2
NE001006,2001,15.443034180000001,2
NE001006,2002,17.063055809999998,2
NE001006,2003,16.201244889999998,2
NE001006,2004,12.017426710000002,2
NE001006,2005,19.280450899999998,2
NE001006,2006,2.248557882,2
NE001006,2007,18.35241767,2
NE001006,2008,11.23115795,2
NE001006,2009,10.94397823,2
NE001006,2010,61.7522412,2
NE001006,2011,10.35148208,2
NE001006,2012,21.9809868,2
NE001006,2013,7.0522007900000006,2
NE001006,2014,7.86685415,2
NE001006,2015,8.88003716,2
NE001006,2016,33.5205929,2
NE001006,2017,25.306170799999997,2
NE001006,2018,17.780841679999998,2
NE001006,2019,16.61230293,2
NE001006,2020,14.024920400000001,2
NE001006,2021,8.489220285,2
NE001006,2022,9.90067473,2
