wmo_id,name,year,month,precip_mm,quintile,n_rain_days,source,lat,lon
61017,Bilma,2008,6,0.0,4.0,0.0,CLIMAT,,
61036,Tillabery,2008,6,84.0,5.0,10.0,CLIMAT,,
61043,Tahoua,2008,6,48.0,3.0,6.0,CLIMAT,,
61045,Goure,2008,6,19.0,2.0,4.0,CLIMAT,,
61052,Niamey-Aero,2008,6,0.0,,,CLIMAT,,
61075,Birni-N Konni,2008,6,154.0,5.0,8.0,CLIMAT,,
61080,Maradi,2008,6,72.0,4.0,6.0,CLIMAT,,
61091,Magaria,2008,6,44.0,3.0,6.0,CLIMAT,,
61096,Maine-Soroa,2008,6,23.0,3.0,3.0,CLIMAT,,
61099,Gaya,2008,6,127.0,3.0,11.0,CLIMAT,,
61049,N Guigmi,2008,6,0.0,0.0,0.0,CLIMAT,,
61024,Agadez,2008,7,0.0,,,CLIMAT,,
61036,Tillabery,2008,7,77.0,2.0,6.0,CLIMAT,,
61043,Tahoua,2008,7,109.0,3.0,9.0,CLIMAT,,
61049,N Guigmi,2008,7,70.0,4.0,6.0,CLIMAT,,
61080,Maradi,2008,7,88.0,1.0,7.0,CLIMAT,,
61085,Diffa,2008,7,192.0,5.0,15.0,CLIMAT,,
61091,Magaria,2008,7,147.0,2.0,12.0,CLIMAT,,
61099,Gaya,2008,7,126.0,2.0,9.0,CLIMAT,,
61052,Niamey-Aero,2008,7,26.2,0.0,154.0,CLIMAT,,
61017,Bilma,2008,7,0.0,0.0,0.0,CLIMAT,,
61045,Goure,2008,7,0.0,0.0,0.0,CLIMAT,,
61075,Birni-N Konni,2008,7,0.0,0.0,0.0,CLIMAT,,
61090,Zinder,2008,7,0.0,0.0,0.0,CLIMAT,,
61036,Tillabery,2008,8,236.0,4.0,10.0,CLIMAT,,
61043,Tahoua,2008,8,150.0,4.0,8.0,CLIMAT,,
61049,N Guigmi,2008,8,62.0,2.0,6.0,CLIMAT,,
61052,Niamey-Aero,2008,8,0.0,,,CLIMAT,,
61075,Birni-N Konni,2008,8,166.0,2.0,15.0,CLIMAT,,
61080,Maradi,2008,8,157.0,1.0,17.0,CLIMAT,,
61091,Magaria,2008,8,258.0,4.0,16.0,CLIMAT,,
61099,Gaya,2008,8,241.0,3.0,15.0,CLIMAT,,
61017,Bilma,2008,8,0.0,0.0,0.0,CLIMAT,,
61017,Bilma,2009,6,0.0,4.0,0.0,CLIMAT,,
61024,Agadez,2009,6,0.0,,,CLIMAT,,
61043,Tahoua,2009,6,445.0,2.0,6.0,CLIMAT,,
61049,N Guigmi,2009,6,12.0,4.0,2.0,CLIMAT,,
61052,Niamey-Aero,2009,6,0.0,,,CLIMAT,,
61085,Diffa,2009,6,1.0,0.0,1.0,CLIMAT,,
61090,Zinder,2009,6,74.0,2.0,6.0,CLIMAT,,
61096,Maine-Soroa,2009,6,3.0,1.0,2.0,CLIMAT,,
61099,Gaya,2009,6,172.0,5.0,12.0,CLIMAT,,
61045,Goure,2009,6,0.0,0.0,0.0,CLIMAT,,
61080,Maradi,2009,6,0.0,0.0,0.0,CLIMAT,,
61091,Magaria,2009,6,0.0,0.0,0.0,CLIMAT,,
61017,Bilma,2009,7,5.0,4.0,2.0,CLIMAT,,
61036,Tillabery,2009,7,47.0,1.0,4.0,CLIMAT,,
61043,Tahoua,2009,7,68.0,1.0,9.0,CLIMAT,,
61045,Goure,2009,7,70.0,1.0,5.0,CLIMAT,,
61049,N Guigmi,2009,7,51.0,3.0,7.0,CLIMAT,,
61052,Niamey-Aero,2009,7,183.0,4.0,9.0,CLIMAT,,
61075,Birni-N Konni,2009,7,80.0,1.0,4.0,CLIMAT,,
61080,Maradi,2009,7,129.0,2.0,6.0,CLIMAT,,
61091,Magaria,2009,7,217.0,4.0,13.0,CLIMAT,,
61099,Gaya,2009,7,194.0,4.0,10.0,CLIMAT,,
61096,Maine-Soroa,2009,7,0.0,0.0,0.0,CLIMAT,,
61017,Bilma,2009,8,9.0,4.0,4.0,CLIMAT,,
61024,Agadez,2009,8,0.0,,,CLIMAT,,
61043,Tahoua,2009,8,1445.0,3.0,8.0,CLIMAT,,
61052,Niamey-Aero,2009,8,0.0,,,CLIMAT,,
61075,Birni-N Konni,2009,8,130.0,1.0,9.0,CLIMAT,,
61080,Maradi,2009,8,141.0,1.0,11.0,CLIMAT,,
61085,Diffa,2009,8,133.0,1.0,10.0,CLIMAT,,
61090,Zinder,2009,8,0.0,4.0,0.0,CLIMAT,,
61091,Magaria,2009,8,201.0,3.0,10.0,CLIMAT,,
61096,Maine-Soroa,2009,8,105.0,2.0,7.0,CLIMAT,,
61045,Goure,2009,8,0.0,0.0,0.0,CLIMAT,,
61049,N Guigmi,2009,8,0.0,0.0,0.0,CLIMAT,,
61043,Tahoua,2010,6,3032.0,3.0,,CLIMAT,,
61049,N Guigmi,2010,6,296.0,5.0,6.0,CLIMAT,,
61052,Niamey-Aero,2010,6,24.5,0.0,69.0,CLIMAT,,
61017,Bilma,2010,7,5.0,4.0,1.0,CLIMAT,,
61024,Agadez,2010,7,0.0,,,CLIMAT,,
61036,Tillabery,2010,7,140.0,4.0,13.0,CLIMAT,,
61017,Bilma,2010,8,1.0,2.0,0.0,CLIMAT,,
61024,Agadez,2010,8,0.0,,,CLIMAT,,
61036,Tillabery,2010,8,129.0,2.0,7.0,CLIMAT,,
61043,Tahoua,2010,8,1157.0,2.0,11.0,CLIMAT,,
61045,Goure,2010,8,128.0,3.0,12.0,CLIMAT,,
61049,N Guigmi,2010,8,121.0,3.0,10.0,CLIMAT,,
61052,Niamey-Aero,2010,8,27.4,,0.0,CLIMAT,,
61080,Maradi,2010,8,214.0,,15.0,CLIMAT,,
61096,Maine-Soroa,2010,8,162.0,3.0,12.0,CLIMAT,,
61017,Bilma,2011,6,0.0,4.0,0.0,CLIMAT,,
61024,Agadez,2011,6,0.0,,,CLIMAT,,
61043,Tahoua,2011,6,886.0,5.0,7.0,CLIMAT,,
61045,Goure,2011,6,78.0,6.0,6.0,CLIMAT,,
61052,Niamey-Aero,2011,6,42.0,1.0,6.0,CLIMAT,,
61080,Maradi,2011,6,75.0,,7.0,CLIMAT,,
61090,Zinder,2011,6,80.0,5.0,6.0,CLIMAT,,
61091,Magaria,2011,6,814.0,4.0,5.0,CLIMAT,,
61096,Maine-Soroa,2011,6,24.0,3.0,4.0,CLIMAT,,
61099,Gaya,2011,6,53.0,1.0,6.0,CLIMAT,,
61075,Birni-N Konni,2011,6,0.0,0.0,0.0,CLIMAT,,
61017,Bilma,2011,7,1.0,3.0,1.0,CLIMAT,,
61036,Tillabery,2011,7,84.0,2.0,7.0,CLIMAT,,
61045,Goure,2011,7,99.0,3.0,6.0,CLIMAT,,
61049,N Guigmi,2011,7,80.0,4.0,4.0,CLIMAT,,
61052,Niamey-Aero,2011,7,79.0,1.0,7.0,CLIMAT,,
61075,Birni-N Konni,2011,7,82.0,1.0,4.0,CLIMAT,,
61080,Maradi,2011,7,97.0,,9.0,CLIMAT,,
61090,Zinder,2011,7,68.0,4.0,6.0,CLIMAT,,
61096,Maine-Soroa,2011,7,47.0,3.0,6.0,CLIMAT,,
61099,Gaya,2011,7,122.0,2.0,13.0,CLIMAT,,
61017,Bilma,2011,8,6.0,3.0,1.0,CLIMAT,,
61024,Agadez,2011,8,66.0,6.0,10.0,CLIMAT,,
61036,Tillabery,2011,8,62.0,1.0,5.0,CLIMAT,,
61043,Tahoua,2011,8,630.0,1.0,5.0,CLIMAT,,
61045,Goure,2011,8,89.0,1.0,6.0,CLIMAT,,
61049,N Guigmi,2011,8,75.0,2.0,8.0,CLIMAT,,
61052,Niamey-Aero,2011,8,138.0,2.0,11.0,CLIMAT,,
61075,Birni-N Konni,2011,8,154.0,2.0,7.0,CLIMAT,,
