source,year,jun_mm,jul_mm,seasonal_mm
era5,1981,21.401779174804688,61.31683349609375,82.71861267089844
era5,1982,10.822040557861328,26.842653274536133,37.66469192504883
era5,1983,12.553770065307617,38.41745376586914,50.97122573852539
era5,1984,7.82932186126709,23.086360931396484,30.915679931640625
era5,1985,9.909832000732422,40.0106315612793,49.920467376708984
era5,1986,8.063955307006836,50.30115509033203,58.36510467529297
era5,1987,15.523999214172363,22.640464782714844,38.16446304321289
era5,1988,21.890514373779297,48.04912185668945,69.93962860107422
era5,1989,8.585429191589355,34.017234802246094,42.6026611328125
era5,1990,8.081062316894531,50.79855728149414,58.87961959838867
era5,1991,9.630807876586914,45.97780990600586,55.608619689941406
era5,1992,9.527795791625977,43.59197998046875,53.119773864746094
era5,1993,5.6925506591796875,33.8198127746582,39.512359619140625
era5,1994,7.751160144805908,43.66154479980469,51.41270446777344
era5,1995,8.959573745727539,32.871707916259766,41.83127975463867
era5,1996,14.363073348999023,22.48281478881836,36.84588623046875
era5,1997,13.690290451049805,24.343969345092773,38.03425598144531
era5,1998,9.443293571472168,54.243064880371094,63.68635177612305
era5,1999,3.224254846572876,61.63555908203125,64.85980987548828
era5,2000,7.380702018737793,54.86482238769531,62.24551010131836
era5,2001,7.890082836151123,56.910438537597656,64.80052185058594
era5,2002,4.756082057952881,49.41873550415039,54.1748161315918
era5,2003,17.100732803344727,31.377206802368164,48.477935791015625
era5,2004,5.324820518493652,31.501253128051758,36.826072692871094
era5,2005,18.60092544555664,43.399810791015625,62.000736236572266
era5,2006,4.396241664886475,24.768531799316406,29.16477394104004
era5,2007,10.221077919006348,38.8504753112793,49.07155227661133
era5,2008,15.310159683227539,26.00785255432129,41.318016052246094
era5,2009,11.582940101623535,17.298694610595703,28.88163185119629
era5,2010,11.646944999694824,83.05056762695312,94.697509765625
era5,2011,8.829500198364258,19.55141830444336,28.38091468811035
era5,2012,13.482643127441406,36.122291564941406,49.60493469238281
era5,2013,10.548990249633789,20.883087158203125,31.432079315185547
era5,2014,5.466913223266602,30.043935775756836,35.51084899902344
era5,2015,5.534236431121826,29.801633834838867,35.335872650146484
era5,2016,18.671714782714844,61.02279281616211,79.69451141357422
era5,2017,28.571590423583984,38.85969543457031,67.43128967285156
era5,2018,17.75530242919922,30.856718063354492,48.61201858520508
era5,2019,14.268393516540527,29.52024269104004,43.788639068603516
era5,2020,5.066222667694092,31.20363426208496,36.26985549926758
